Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,0.712256478,1.149347464,0.587161103,1.302840712,0.5711029884,-1.278526283,1.293854563
Belgium,BEL,1.451893368,0.7552689191,1.228866236,1.38137531,1.561146953,-6.132229512,5.844594821
Belarus,BLR,-3.957251254,-2.611913805,2.644807522,3.369991519,1.604818192,-0.479446185,2.941755802
Brazil,BRA,-4.351475066,-4.069410924,0.5083379803,0.9889600326,0.4629036866,-4.561462507,3.918336589
Canada,CAN,-0.08928580115,-0.1358426213,1.811278917,1.335564285,0.4269178533,-6.31922237,3.991761062
China,CHN,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.996619014,8.01334526
Germany,DEU,0.6171053532,1.408102075,2.297206047,0.7826900473,0.8278647792,-4.647544976,2.93169775
France,FRA,0.7540243523,0.8290566645,1.994998447,1.585878806,1.620358453,-8.034379209,6.774306811
India,IND,6.796759064,7.082227583,5.665781149,5.35475685,2.692089827,-7.515674992,7.899879116
Russian Federation,RUS,-2.183885472,0.01024792043,1.709385694,2.815524107,2.243979517,-2.480729428,5.234384483
United States,USA,1.953004118,0.9333753617,1.610808083,2.378479223,1.824124482,-4.328617754,5.546087223